City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,56.52,76,100,3.85,overcast clouds
1,Koungou,YT,-12.7336,45.2042,80.31,69,40,19.82,scattered clouds
2,Agirish,RU,61.9247,63.0231,61.74,59,98,6.53,overcast clouds
3,Alice Springs,AU,-23.7,133.8833,74.21,21,0,11.99,clear sky
4,Torbay,CA,47.6666,-52.7314,42.28,78,40,10.36,scattered clouds
5,Tautira,PF,-17.7333,-149.15,84.22,79,94,20.71,light rain
6,Bengkulu,ID,-3.8004,102.2655,79.5,84,100,2.13,overcast clouds
7,Matara,LK,5.9485,80.5353,81.05,84,95,8.46,overcast clouds
8,Georgetown,MY,5.4112,100.3354,82.33,86,20,1.99,few clouds
9,Byron Bay,AU,-28.65,153.6167,71.87,65,16,6.89,few clouds
10,Kapaa,US,22.0752,-159.319,78.12,69,86,5.99,overcast clouds
11,Busselton,AU,-33.65,115.3333,63.82,62,16,4.83,few clouds
12,Mataura,NZ,-46.1927,168.8643,59.49,67,53,3.04,broken clouds
13,Zhmerynka,UA,49.037,28.112,46.85,95,86,8.23,overcast clouds
14,Hithadhoo,MV,-0.6,73.0833,84.15,69,23,8.81,few clouds
15,Mayo,US,38.8876,-76.5119,74.52,72,100,5.88,overcast clouds
16,Faya,SA,18.3851,42.4509,68.52,34,5,4.27,clear sky
17,Bredasdorp,ZA,-34.5322,20.0403,59.29,89,100,7.18,overcast clouds
18,Narsaq,GL,60.9167,-46.05,34.56,67,60,4.05,broken clouds
19,Castro,BR,-24.7911,-50.0119,51.42,52,1,2.44,clear sky
20,Marathon,US,44.9,-89.7668,66.24,92,90,6.64,overcast clouds
21,San Ciro De Acosta,MX,21.6333,-99.8167,79.29,39,99,8.32,overcast clouds
22,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,66,23.67,light rain
23,Punta Arenas,CL,-53.15,-70.9167,44.11,79,100,10.09,overcast clouds
24,Teya,RU,60.3778,92.6267,39.78,49,12,6.85,few clouds
25,Naze,JP,28.3667,129.4833,79.72,81,15,15.59,few clouds
26,Zheleznodorozhnyy,RU,55.7503,38.0042,61.36,96,100,8.12,overcast clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,70,20,18.41,few clouds
28,Lebu,CL,-37.6167,-73.65,53.11,80,55,11.9,broken clouds
29,Kruisfontein,ZA,-34.0033,24.7314,62.4,48,19,8.28,few clouds
30,Carnarvon,AU,-24.8667,113.6333,69.87,64,0,9.22,clear sky
31,Lata,PT,40.1629,-8.3327,55.06,86,71,2.21,broken clouds
32,Asyut,EG,27.181,31.1837,75.38,33,0,11.59,clear sky
33,Tateyama,JP,34.9833,139.8667,71.15,87,100,4.07,overcast clouds
34,Komsomolskiy,UZ,40.4272,71.7189,65.12,59,88,4.61,overcast clouds
35,Turmalina,BR,-17.2856,-42.73,60.4,86,3,1.74,clear sky
36,Thompson,CA,55.7435,-97.8558,32.16,80,90,10.36,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,73.06,38,21,13.24,few clouds
38,Cedar City,US,37.6775,-113.0619,73.18,13,18,15.28,few clouds
39,Jamestown,US,42.097,-79.2353,71.24,52,1,1.01,clear sky
40,Chuy,UY,-33.6971,-53.4616,49.32,86,100,3.18,light rain
41,Gold Coast,AU,-28.0,153.4333,76.24,62,40,3.0,scattered clouds
42,Upernavik,GL,72.7868,-56.1549,26.2,78,10,9.1,clear sky
43,Chokurdakh,RU,70.6333,147.9167,31.89,100,100,6.91,overcast clouds
44,Dikson,RU,73.5069,80.5464,19.47,92,100,6.26,overcast clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,52.12,62,0,1.01,clear sky
46,Bandarbeyla,SO,9.4942,50.8122,82.72,70,87,20.76,overcast clouds
47,Doha,QA,25.2867,51.5333,91.38,35,0,6.91,clear sky
48,Mandalgovi,MN,45.7625,106.2708,69.39,24,5,14.47,clear sky
49,Camopi,GF,3.1655,-52.3158,72.3,99,62,2.24,broken clouds
50,Avarua,CK,-21.2078,-159.775,82.45,69,20,17.27,few clouds
51,Hermanus,ZA,-34.4187,19.2345,59.81,86,100,16.37,light rain
52,Ingham,US,42.6,-84.3833,72.63,68,1,4.61,clear sky
53,Shelburne,CA,44.0787,-80.2041,70.2,79,100,6.4,overcast clouds
54,Esperance,AU,-33.8667,121.9,64.24,76,2,6.33,clear sky
55,Gilleleje,DK,56.122,12.3106,50.07,91,8,14.18,clear sky
56,Portland,US,45.5234,-122.6762,57.96,62,96,3.0,overcast clouds
57,Puro,PH,12.4841,123.3827,86.97,65,100,9.1,overcast clouds
58,Samarai,PG,-10.6167,150.6667,80.55,84,100,14.61,overcast clouds
59,Itaituba,BR,-4.2761,-55.9836,73.74,98,100,0.6,overcast clouds
60,Manyana,BW,-23.4,21.7167,56.73,48,90,9.44,overcast clouds
61,Klaksvik,FO,62.2266,-6.589,36.52,71,98,13.2,overcast clouds
62,Ushuaia,AR,-54.8,-68.3,40.66,93,90,8.05,light rain
63,Taoudenni,ML,22.6783,-3.9836,96.51,15,99,20.45,overcast clouds
64,Turochak,RU,52.2576,87.1224,40.57,97,100,7.16,light rain
65,Pevek,RU,69.7008,170.3133,33.69,89,72,6.49,broken clouds
66,New Norfolk,AU,-42.7826,147.0587,56.75,60,34,5.99,scattered clouds
67,Alugan,PH,12.2188,125.4808,82.85,81,100,6.73,overcast clouds
68,Batemans Bay,AU,-35.7167,150.1833,63.19,34,57,1.39,broken clouds
69,Airai,TL,-8.9266,125.4092,73.69,45,73,3.96,broken clouds
70,Atuona,PF,-9.8,-139.0333,80.15,77,16,17.34,few clouds
71,Butaritari,KI,3.0707,172.7902,82.22,78,71,11.61,moderate rain
72,Ayan,RU,56.45,138.1667,41.32,63,100,3.18,overcast clouds
73,Beirut,LB,33.8889,35.4944,79.86,83,0,4.61,clear sky
74,Sorland,NO,67.667,12.6934,42.26,76,100,17.07,overcast clouds
75,Aklavik,CA,68.2191,-135.0107,56.23,47,42,8.81,scattered clouds
76,Ancud,CL,-41.8697,-73.8203,51.42,83,17,13.8,few clouds
77,Zhezkazgan,KZ,47.8043,67.7144,56.73,60,0,19.93,clear sky
78,Arraial Do Cabo,BR,-22.9661,-42.0278,70.92,70,44,3.6,scattered clouds
79,Gloversville,US,43.0528,-74.3438,68.04,68,99,1.01,overcast clouds
80,Novosheshminsk,RU,55.0651,51.2338,60.6,78,13,10.87,few clouds
81,Awjilah,LY,29.1081,21.2869,78.17,24,0,8.52,clear sky
82,Abalak,RU,58.1286,68.5944,51.91,53,100,5.28,overcast clouds
83,Okhotsk,RU,59.3833,143.3,37.17,76,69,5.79,broken clouds
84,Avera,US,33.194,-82.5271,74.71,81,99,8.08,overcast clouds
85,Qaanaaq,GL,77.484,-69.3632,28.62,80,42,7.58,scattered clouds
86,Isiro,CD,2.7739,27.616,66.72,99,100,2.15,overcast clouds
87,Kawambwa,ZM,-9.7915,29.0791,62.74,70,93,7.38,overcast clouds
88,Rawlins,US,41.7911,-107.2387,59.43,61,98,17.81,overcast clouds
89,Port Elizabeth,ZA,-33.918,25.5701,57.49,100,0,3.44,clear sky
90,Dothan,US,31.2232,-85.3905,78.71,61,100,4.0,overcast clouds
91,Rio Gallegos,AR,-51.6226,-69.2181,46.45,87,90,5.75,overcast clouds
92,Sao Filipe,CV,14.8961,-24.4956,74.66,75,98,5.61,overcast clouds
93,Rikitea,PF,-23.1203,-134.9692,73.17,61,54,17.81,broken clouds
94,Albany,US,42.6001,-73.9662,68.65,52,100,3.65,overcast clouds
95,Aripuana,BR,-9.1667,-60.6333,78.76,68,100,1.05,overcast clouds
96,Laurel,US,39.0993,-76.8483,74.21,64,1,1.01,clear sky
97,Cape Town,ZA,-33.9258,18.4232,60.89,93,75,4.0,light rain
98,Greenfield,US,42.9614,-88.0126,70.16,85,96,8.05,overcast clouds
99,Tommot,RU,58.9564,126.2925,46.47,48,100,4.16,light rain
100,Hobart,AU,-42.8794,147.3294,58.12,53,20,1.99,few clouds
101,Codrington,AU,-38.2667,141.9667,58.86,75,99,7.87,overcast clouds
102,Longyearbyen,SJ,78.2186,15.6401,22.84,80,75,8.05,broken clouds
103,Tarecuato,MX,19.85,-102.4833,64.56,26,0,5.57,clear sky
104,Zhifang,CN,30.35,114.3167,67.98,65,100,6.24,overcast clouds
105,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,73.83,41,5,2.19,clear sky
106,Fernie,CA,49.5,-115.0687,54.57,46,100,7.96,overcast clouds
107,Norman Wells,CA,65.282,-126.8329,53.64,35,75,6.91,broken clouds
108,Yellowknife,CA,62.456,-114.3525,39.72,30,20,1.99,few clouds
109,Greymouth,NZ,-42.4667,171.2,55.69,73,95,3.13,overcast clouds
110,Manaure,CO,11.7751,-72.4445,83.12,71,19,11.7,few clouds
111,East London,ZA,-33.0153,27.9116,75.94,32,100,13.91,overcast clouds
112,Boueni,YT,-12.9025,45.0761,80.58,68,3,19.57,clear sky
113,Vaini,TO,-21.2,-175.2,80.76,78,75,9.22,broken clouds
114,Recke,DE,52.3833,7.7167,46.67,93,3,3.76,clear sky
115,Suraabad,AZ,40.8192,49.4687,68.18,72,100,23.4,overcast clouds
116,Srednekolymsk,RU,67.45,153.6833,44.15,63,91,10.76,overcast clouds
117,Fare,PF,-16.7,-151.0167,81.32,76,99,19.69,overcast clouds
118,Marystown,CA,47.1666,-55.1483,39.25,93,9,6.93,clear sky
119,Bud,US,39.447,-86.1758,71.65,90,100,6.15,overcast clouds
120,Tibati,CM,6.4667,12.6333,65.73,95,78,1.45,broken clouds
121,Barrow,US,71.2906,-156.7887,30.22,80,90,9.22,overcast clouds
122,Hilo,US,19.7297,-155.09,78.53,71,90,11.5,overcast clouds
123,Visnes,NO,59.3556,5.2242,48.58,87,90,16.11,overcast clouds
124,Gamboula,CF,4.1178,15.1393,68.61,97,48,2.19,light rain
125,Tasiilaq,GL,65.6145,-37.6368,20.01,72,21,4.79,few clouds
126,Cap Malheureux,MU,-19.9842,57.6142,71.47,78,10,5.01,light rain
127,Acarau,BR,-2.8856,-40.12,77.88,85,6,11.1,clear sky
128,Port Alberni,CA,49.2413,-124.8028,62.89,44,20,2.64,few clouds
129,Nesna,NO,66.1967,13.0213,44.58,82,100,5.86,overcast clouds
130,Porto Santo,PT,33.072,-16.3415,73.31,82,20,10.36,few clouds
131,Saldanha,ZA,-33.0117,17.9442,59.05,95,100,20.09,light rain
132,Ilulissat,GL,69.2167,-51.1,35.35,62,100,17.83,overcast clouds
133,Clyde River,CA,70.4692,-68.5914,16.03,73,1,16.11,clear sky
134,Xingyi,CN,24.1877,102.817,77.61,49,57,10.36,broken clouds
135,Luganville,VU,-15.5333,167.1667,78.06,84,100,12.71,overcast clouds
136,Shellbrook,CA,53.2168,-106.4011,34.83,49,99,12.12,overcast clouds
137,Anadyr,RU,64.75,177.4833,37.9,94,20,15.01,few clouds
138,Kaitangata,NZ,-46.2817,169.8464,60.93,63,81,3.22,broken clouds
139,Luangwa,ZM,-15.6167,30.4167,60.22,96,28,0.65,scattered clouds
140,Sur,OM,22.5667,59.5289,90.82,40,13,3.51,few clouds
141,Nanortalik,GL,60.1432,-45.2371,36.28,78,5,7.52,clear sky
142,Broome,US,42.2506,-75.833,67.37,89,100,3.15,overcast clouds
143,Mpulungu,ZM,-8.7623,31.1141,69.19,75,80,7.18,broken clouds
144,Kodiak,US,57.79,-152.4072,42.31,93,90,21.85,light rain
145,Upington,ZA,-28.4478,21.2561,71.98,26,0,11.5,clear sky
146,Rhyl,GB,53.3196,-3.4886,49.95,83,100,3.0,overcast clouds
147,Dezhou,CN,37.4486,116.2925,75.49,48,100,16.64,overcast clouds
148,Ponta Do Sol,PT,32.6667,-17.1,74.03,58,4,5.64,clear sky
149,Waingapu,ID,-9.6567,120.2641,85.19,67,39,12.68,scattered clouds
150,Bluff,NZ,-46.6,168.3333,59.81,77,86,6.62,overcast clouds
151,San Isidro,PE,-12.1167,-77.05,62.26,95,90,8.66,overcast clouds
152,Saurimo,AO,-9.6608,20.3916,62.56,63,57,4.38,broken clouds
153,Lompoc,US,34.6391,-120.4579,70.79,65,1,19.57,clear sky
154,Victoria,HK,22.2855,114.1577,89.96,74,100,1.01,overcast clouds
155,Tlacotepec,MX,20.0667,-97.8667,62.4,93,81,3.74,broken clouds
156,Jalu,LY,29.0331,21.5482,78.17,24,0,7.52,clear sky
157,Dapaong,TG,10.8639,0.205,85.87,47,54,8.5,broken clouds
158,Pindushi,RU,62.9152,34.58,54.99,94,13,7.9,few clouds
159,Humberto De Campos,BR,-2.5983,-43.4611,75.22,94,2,4.34,clear sky
160,Hamilton,US,39.1834,-84.5333,72.99,79,92,3.38,overcast clouds
161,Puerto Escondido,MX,15.85,-97.0667,83.26,73,3,7.56,clear sky
162,Meulaboh,ID,4.1363,96.1285,80.47,80,100,2.21,overcast clouds
163,Vardo,NO,70.3705,31.1107,40.3,96,100,16.4,overcast clouds
164,Alapur,IN,27.9555,79.2269,74.91,87,100,18.63,overcast clouds
165,Fairbanks,US,64.8378,-147.7164,64.49,36,1,6.91,clear sky
166,Aitape,PG,-3.1374,142.3475,85.42,69,40,3.67,scattered clouds
167,Grand Gaube,MU,-20.0064,57.6608,71.38,78,15,5.01,light rain
168,Ahar,IR,38.4774,47.0699,57.09,74,0,5.55,clear sky
169,Sitka,US,57.0531,-135.33,54.05,59,41,6.71,scattered clouds
170,Joshimath,IN,30.5667,79.5667,61.0,98,100,0.65,overcast clouds
171,Scottsbluff,US,41.8666,-103.6672,71.29,44,89,5.99,overcast clouds
172,Sistranda,NO,63.7256,8.834,44.91,73,100,5.88,overcast clouds
173,Poum,NC,-20.2333,164.0167,75.42,74,1,10.89,clear sky
174,Hervey Bay,AU,-25.2986,152.8535,75.31,65,94,5.99,overcast clouds
175,Severo-Kurilsk,RU,50.6789,156.125,43.57,83,68,5.21,broken clouds
176,Wattegama,LK,6.7989,81.4808,79.72,79,34,6.22,scattered clouds
177,Fuente De Oro,CO,3.4594,-73.6128,72.75,93,99,2.13,overcast clouds
178,Faanui,PF,-16.4833,-151.75,81.73,76,100,18.34,light rain
179,Abha,SA,18.2164,42.5053,68.25,36,0,5.48,clear sky
180,Saint George,US,37.1041,-113.5841,90.07,10,34,4.0,scattered clouds
181,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,98,19.69,light rain
182,Salinopolis,BR,-0.6136,-47.3561,79.68,81,0,8.59,clear sky
183,Khatanga,RU,71.9667,102.5,26.26,91,88,4.16,overcast clouds
184,Vung Tau,VN,10.346,107.0843,85.75,68,100,1.97,overcast clouds
185,Akureyri,IS,65.6835,-18.0878,31.93,80,90,3.44,overcast clouds
186,Camacha,PT,33.0833,-16.3333,70.56,82,20,10.36,few clouds
187,Abu Kamal,SY,34.4506,40.9171,78.91,22,0,2.62,clear sky
188,Kuryk,KZ,43.2,51.65,67.3,63,84,13.06,broken clouds
189,Cabo San Lucas,MX,22.8909,-109.9124,84.51,72,0,9.93,clear sky
190,Puerto Cabezas,NI,14.0351,-83.3888,79.52,83,4,8.23,clear sky
191,Kantang,TH,7.4054,99.5156,77.09,81,40,6.69,moderate rain
192,Pocatello,US,42.8713,-112.4455,67.71,31,29,4.0,scattered clouds
193,Cumra,TR,37.5732,32.7745,58.55,46,1,4.34,clear sky
194,Saint-Pierre,RE,-21.3393,55.4781,71.28,87,75,25.32,moderate rain
195,Lujan,AR,-34.5703,-59.105,57.97,82,100,10.71,overcast clouds
196,Yatou,CN,37.15,122.3833,56.89,79,100,6.02,light rain
197,Melo,UY,-32.3667,-54.1833,48.54,83,100,6.13,overcast clouds
198,Ahipara,NZ,-35.1667,173.1667,64.6,69,89,6.42,overcast clouds
199,San Jeronimo,PE,-11.9472,-75.2829,52.07,81,98,3.49,overcast clouds
200,Esterhazy,CA,50.65,-102.0843,59.85,46,1,13.18,clear sky
201,Talnakh,RU,69.4865,88.3972,16.16,84,30,2.01,scattered clouds
202,Mahebourg,MU,-20.4081,57.7,71.26,73,73,24.05,light rain
203,Isangel,VU,-19.55,169.2667,77.38,77,100,10.38,overcast clouds
204,Praia,CV,14.9215,-23.5087,73.94,68,0,8.05,clear sky
205,Beyneu,KZ,45.3167,55.2,74.75,32,57,5.32,broken clouds
206,Karpinsk,RU,59.7654,60.0085,61.32,53,79,5.75,broken clouds
207,Puerto Ayora,EC,-0.7393,-90.3518,74.55,88,8,5.99,clear sky
208,Bonthe,SL,7.5264,-12.505,79.29,84,94,4.94,overcast clouds
209,Constitucion,CL,-35.3333,-72.4167,56.35,94,100,8.48,overcast clouds
210,Mumford,GH,5.2618,-0.759,79.39,88,66,8.93,broken clouds
211,Benghazi,LY,32.1167,20.0667,72.12,54,2,8.97,clear sky
212,Strezhevoy,RU,60.7333,77.5889,35.58,40,91,4.43,overcast clouds
213,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,87,0,5.75,clear sky
214,Port Hardy,CA,50.6996,-127.4199,53.78,66,75,13.8,broken clouds
215,San Quintin,MX,30.4833,-115.95,62.56,81,8,15.26,clear sky
216,Yulara,AU,-25.2406,130.9889,64.24,22,100,8.05,overcast clouds
217,Hambantota,LK,6.1241,81.1185,80.94,79,40,14.97,scattered clouds
218,Bitung,ID,1.4451,125.1824,90.45,75,62,4.9,broken clouds
219,Makakilo City,US,21.3469,-158.0858,80.56,64,24,20.76,few clouds
220,Leningradskiy,RU,69.3833,178.4167,34.65,84,98,7.29,overcast clouds
221,Burnie,AU,-41.0667,145.9167,57.94,58,7,13.22,clear sky
222,Namibe,AO,-15.1961,12.1522,75.11,45,0,8.57,clear sky
223,Corinto,GR,37.9407,22.9573,69.76,69,100,3.0,overcast clouds
224,Lagoa,PT,39.05,-27.9833,59.2,85,100,15.88,overcast clouds
